Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
China,1990,All ages,Both,All causes,"DALYs per 100,000",35027.18619,32619.75117,37686.87701
China,1991,All ages,Both,All causes,"DALYs per 100,000",34331.13798,32080.65182,36564.86009
China,1992,All ages,Both,All causes,"DALYs per 100,000",33641.10994,31385.78052,35843.46449
China,1993,All ages,Both,All causes,"DALYs per 100,000",32981.87653,30718.68354,35138.15352
China,1994,All ages,Both,All causes,"DALYs per 100,000",32332.33071,30071.38923,34450.44899
China,1995,All ages,Both,All causes,"DALYs per 100,000",31708.29803,29298.34348,34216.67411
China,1996,All ages,Both,All causes,"DALYs per 100,000",31128.91894,28925.31031,33223.19066
China,1997,All ages,Both,All causes,"DALYs per 100,000",30614.37486,28411.37382,32642.90954
China,1998,All ages,Both,All causes,"DALYs per 100,000",30094.0654,27811.02142,32113.5239
China,1999,All ages,Both,All causes,"DALYs per 100,000",29578.88595,27265.21,31616.3773
China,2000,All ages,Both,All causes,"DALYs per 100,000",29183.8246,26850.48434,31788.67437
China,2001,All ages,Both,All causes,"DALYs per 100,000",28949.12985,26570.16144,31089.92933
China,2002,All ages,Both,All causes,"DALYs per 100,000",28706.87213,26333.64163,30916.23319
China,2003,All ages,Both,All causes,"DALYs per 100,000",28041.81938,25643.0093,30275.41409
China,2004,All ages,Both,All causes,"DALYs per 100,000",27588.54695,25143.22102,29824.41967
China,2005,All ages,Both,All causes,"DALYs per 100,000",27222.8732,24747.84069,29974.1467
China,2006,All ages,Both,All causes,"DALYs per 100,000",26756.54165,24241.5032,29526.3122
China,2007,All ages,Both,All causes,"DALYs per 100,000",26470.39833,23837.80917,28798.23921
China,2008,All ages,Both,All causes,"DALYs per 100,000",26631.07528,23965.26047,29120.85975
China,2009,All ages,Both,All causes,"DALYs per 100,000",26179.92739,23491.07746,28687.81726
China,2010,All ages,Both,All causes,"DALYs per 100,000",26059.50915,23498.50322,28849.2697
China,2011,All ages,Both,All causes,"DALYs per 100,000",25809.52872,23060.09322,28364.4718
China,2012,All ages,Both,All causes,"DALYs per 100,000",25605.2055,22814.48021,28137.15911
China,2013,All ages,Both,All causes,"DALYs per 100,000",25574.78254,22696.1289,28088.17752
China,2014,All ages,Both,All causes,"DALYs per 100,000",25684.76027,22744.10548,28220.04727
China,2015,All ages,Both,All causes,"DALYs per 100,000",25581.45898,22617.39777,28151.62547
China,2016,All ages,Both,All causes,"DALYs per 100,000",25431.46631,22837.55249,28371.56271
Indonesia,1990,All ages,Both,All causes,"DALYs per 100,000",44820.24535,42230.18837,47646.37231
Indonesia,1991,All ages,Both,All causes,"DALYs per 100,000",43482.92248,41049.52553,46176.14965
Indonesia,1992,All ages,Both,All causes,"DALYs per 100,000",42313.92082,39851.1347,45000.97225
Indonesia,1993,All ages,Both,All causes,"DALYs per 100,000",41252.52533,38750.22431,43921.20025
Indonesia,1994,All ages,Both,All causes,"DALYs per 100,000",40141.87876,37645.30784,42785.61828
Indonesia,1995,All ages,Both,All causes,"DALYs per 100,000",39112.15655,36714.32344,41782.35052
Indonesia,1996,All ages,Both,All causes,"DALYs per 100,000",38132.09013,35556.28531,40665.65551
Indonesia,1997,All ages,Both,All causes,"DALYs per 100,000",37322.05458,34718.57371,39803.66528
Indonesia,1998,All ages,Both,All causes,"DALYs per 100,000",36724.79468,34098.15759,39148.74647
Indonesia,1999,All ages,Both,All causes,"DALYs per 100,000",36288.11082,33703.83771,38706.70006
Indonesia,2000,All ages,Both,All causes,"DALYs per 100,000",35791.62871,33297.88544,38566.98209
Indonesia,2001,All ages,Both,All causes,"DALYs per 100,000",35116.4411,32617.34993,37562.29354
Indonesia,2002,All ages,Both,All causes,"DALYs per 100,000",34544.54207,32121.84153,36965.7891
Indonesia,2003,All ages,Both,All causes,"DALYs per 100,000",33973.36848,31621.89646,36398.51328
Indonesia,2004,All ages,Both,All causes,"DALYs per 100,000",37511.39745,34797.29948,40379.88839
Indonesia,2005,All ages,Both,All causes,"DALYs per 100,000",32920.80516,30432.40179,35767.93661
Indonesia,2006,All ages,Both,All causes,"DALYs per 100,000",32525.9876,30013.74183,35398.71083
Indonesia,2007,All ages,Both,All causes,"DALYs per 100,000",32097.49033,29923.06914,34597.87356
