bundle_id,bundle_name,rei_id,cause_name
1,Allforms Tuberculosis 2017 (Not final),,Tuberculosis
3,Diarrheal diseases,,Diarrheal diseases
14,Clostridium difficile,,Clostridium difficile
17,Typhoid fever,,Typhoid fever
18,Paratyphoid fever,,Paratyphoid fever
19,Lower respiratory infections,,Lower respiratory infections
25,Upper respiratory infections,,Upper respiratory infections
26,Acute otitis media,,Otitis media
27,Chronic otitis media,,Otitis media
28,Meningitis Nonfatal Overall,,Meningitis
44,Epilepsy due to other bacterial meningitis,,Other meningitis
45,Acute encephalitis,,Encephalitis
46,Diphtheria remission,,Diphtheria
47,Mild impairment due to neonatal tetanus,,Tetanus
49,Varicella seroprevalence,,Varicella and herpes zoster
50,Herpes zoster incidence,,Varicella and herpes zoster
53,Visceral leishmaniasis,,Visceral leishmaniasis
54,Cutaneous and mucocutaneous leishmaniasis,,Cutaneous and mucocutaneous leishmaniasis
60,Symptomatic cystic echinococcosis,,Cystic echinococcosis
61,Prevalence of detectable microfiliaria due to lymphatic filariasis,,Lymphatic filariasis
64,Vision impairment due to trachoma unsqueezed,,Trachoma
74,Maternal hemorrhage,,Maternal hemorrhage
75,Hypertensive disorders of pregnancy,,Maternal hypertensive disorders
76,Eclampsia,,Maternal hypertensive disorders
77,"Obstructed labor, acute event",,Maternal obstructed labor and uterine rupture
78,Fistula,,Maternal obstructed labor and uterine rupture
80,Prevalence of neonatal preterm birth <28 wks,,Neonatal preterm birth
82,Prevalence of neonatal preterm birth 32-<37 wks,,Neonatal preterm birth
92,Prevalence of neonatal sepsis and other neonatal infections,,Neonatal sepsis and other neonatal infections
93,Goiter due to iodine deficiency,,Iodine deficiency
94,Vision loss due to vitamin A deficiency unsqueezed,,Vitamin A deficiency
95,Adult tertiary syphilis,,Syphilis
96,Chlamydial infection,,Chlamydial infection
97,Gonococcal infection,,Gonococcal infection
98,Trichomoniasis infection,,Trichomoniasis
99,Genital herpes,,Genital herpes
104,Leprosy,,Leprosy
113,Rheumatic heart disease including heart failure,,Rheumatic heart disease
114,Myocardial infarction due to ischemic heart disease,,Ischemic heart disease
115,Angina due to ischemic heart disease,,Ischemic heart disease
116,Cerebrovascular disease acute,,Stroke
118,Acute myocarditis,,Myocarditis
119,Atrial fibrillation and flutter,,Atrial fibrillation and flutter
121,Endocarditis,,Endocarditis
122,Chronic obstructive pulmonary disease prepped data,,Chronic obstructive pulmonary disease
125,Silicosis,,Silicosis
126,Asbestosis,,Asbestosis
127,Coal workers pneumoconiosis all countries,,Coal workers pneumoconiosis
128,Other pneumoconiosis,,Other pneumoconiosis
129,Asthma prepped data,,Asthma
130,Interstitial lung disease and pulmonary sarcoidosis,,Interstitial lung disease and pulmonary sarcoidosis
131,Cirrhosis and other chronic liver diseases,,Cirrhosis and other chronic liver diseases
138,Appendicitis,,Appendicitis
139,Paralytic ileus and intestinal obstruction,,Paralytic ileus and intestinal obstruction
140,"Inguinal, femoral and abdominal hernia, symptomatic",,"Inguinal, femoral, and abdominal hernia"
141,Noninfective inflammatory bowel disease due to ulcerative colitis cases pre-adjustment,,Inflammatory bowel disease
142,Noninfective inflammatory bowel disease due to Crohn disease cases pre-adjustment,,Inflammatory bowel disease
143,Vascular intestinal disorders,,Vascular intestinal disorders
144,"Gallbladder and biliary diseases, symptomatic episodes",,Gallbladder and biliary diseases
145,"Pancreatitis, chronic",,Pancreatitis
